,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
89,Butterworth,5.3991,100.3638,77.05,96,40,4.61,MY,2022-06-15 23:05:14,scattered clouds
90,Dicabisagan,17.0818,122.4157,82.33,76,100,4.54,PH,2022-06-15 23:05:14,light rain
91,Kibaek,56.0317,8.857,50.77,95,86,6.71,DK,2022-06-15 23:05:14,overcast clouds
92,Paamiut,61.994,-49.6678,36.99,86,8,18.59,GL,2022-06-15 23:02:06,clear sky
93,Tuktoyaktuk,69.4541,-133.0374,38.88,71,56,13.87,CA,2022-06-15 23:05:15,broken clouds
94,Ahipara,-35.1667,173.1667,61.0,59,50,7.72,NZ,2022-06-15 23:06:15,scattered clouds
95,Gushikawa,26.3544,127.8686,76.23,97,100,12.66,JP,2022-06-15 23:06:15,heavy intensity rain
96,Georgetown,5.4112,100.3354,76.95,96,40,4.61,MY,2022-06-15 23:06:16,scattered clouds
97,Kapaa,22.0752,-159.319,84.18,74,20,17.27,US,2022-06-15 23:04:48,few clouds
98,Sinnamary,5.3833,-52.95,77.25,85,39,8.21,GF,2022-06-15 23:02:16,scattered clouds
99,Tigil,57.8,158.6667,57.4,61,100,0.83,RU,2022-06-15 23:06:16,overcast clouds
100,Sur,22.5667,59.5289,86.81,66,15,10.33,OM,2022-06-15 23:02:10,few clouds
101,Den Helder,52.9599,4.7593,62.98,63,100,9.22,NL,2022-06-15 23:06:17,overcast clouds
102,Nikolskoye,59.7035,30.7861,57.79,89,86,10.6,RU,2022-06-15 23:04:43,overcast clouds
103,Hasaki,35.7333,140.8333,68.29,88,100,3.31,JP,2022-06-15 23:06:17,overcast clouds
104,Jamestown,42.097,-79.2353,81.99,87,100,7.45,US,2022-06-15 23:03:06,overcast clouds
105,Odweyne,9.4092,45.064,76.23,47,30,17.81,SO,2022-06-15 23:06:18,scattered clouds
106,Cabo San Lucas,22.8909,-109.9124,95.61,37,0,8.05,MX,2022-06-15 23:05:14,clear sky
107,Palm Coast,29.585,-81.2078,92.1,75,0,8.05,US,2022-06-15 23:01:25,clear sky
108,Port Keats,-14.25,129.55,70.05,28,56,9.66,AU,2022-06-15 23:06:18,broken clouds
109,Thompson,55.7435,-97.8558,73.54,27,13,14.03,CA,2022-06-15 23:06:19,few clouds
110,East London,-33.0153,27.9116,54.39,64,30,19.77,ZA,2022-06-15 23:05:50,scattered clouds
111,Pulandian,39.3953,121.9669,67.12,67,3,4.59,CN,2022-06-15 23:06:19,clear sky
112,Altamira,-3.2033,-52.2064,73.4,82,72,2.64,BR,2022-06-15 23:06:19,broken clouds
113,Bardiyah,31.7561,25.0865,73.29,79,0,7.2,LY,2022-06-15 23:06:20,clear sky
114,Katsuura,35.1333,140.3,68.22,89,100,3.29,JP,2022-06-15 23:06:20,overcast clouds
115,Severo-Kurilsk,50.6789,156.125,48.22,79,87,10.74,RU,2022-06-15 23:04:22,overcast clouds
116,Tome,-36.6167,-72.95,50.61,89,15,2.68,CL,2022-06-15 23:06:21,few clouds
117,Geraldton,-28.7667,114.6,59.41,94,75,10.36,AU,2022-06-15 23:06:21,broken clouds
118,Thanh Hoa,19.8,105.7667,77.92,91,100,2.62,VN,2022-06-15 23:06:21,overcast clouds
119,North Battleford,52.7834,-108.2847,55.4,91,100,23.44,CA,2022-06-15 23:06:22,overcast clouds
120,Tucuma,-0.1833,-50.05,77.0,81,90,7.23,BR,2022-06-15 23:06:22,overcast clouds
121,Ilhabela,-23.7781,-45.3581,64.67,86,44,8.95,BR,2022-06-15 23:06:22,scattered clouds
122,Kotagiri,11.4333,76.8833,59.7,82,100,2.53,IN,2022-06-15 23:06:23,overcast clouds
123,Resistencia,-27.4606,-58.9839,66.18,69,0,8.05,AR,2022-06-15 23:06:23,clear sky
124,Cabra,37.4725,-4.4421,74.84,54,82,1.79,ES,2022-06-15 23:06:24,broken clouds
125,Jining,35.405,116.5814,78.17,52,16,9.46,CN,2022-06-15 23:06:24,few clouds
126,Saint-Augustin,51.226,-58.6502,66.18,51,75,8.57,CA,2022-06-15 23:06:24,broken clouds
