City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Hohhot,CN,2022-06-14 06:26:21,40.8106,111.6522,79.09,22,20,8.95
262,Opelousas,US,2022-06-14 06:26:21,30.5335,-92.0815,80.49,100,0,4.61
263,Okhotsk,RU,2022-06-14 06:26:21,59.3833,143.3,44.51,89,100,7.85
264,Saint-Philippe,RE,2022-06-14 06:26:21,-21.3585,55.7679,78.39,69,49,15.43
265,Karasburg,NA,2022-06-14 06:26:22,-28.0167,18.75,45.37,87,59,18.34
266,Bonavista,CA,2022-06-14 06:26:22,48.6499,-53.1147,42.1,88,49,9.82
267,Gidole,ET,2022-06-14 06:26:22,5.65,37.3667,62.1,60,97,3.38
268,Yinchuan,CN,2022-06-14 06:26:23,38.4681,106.2731,91.6,8,0,4.9
269,Barabinsk,RU,2022-06-14 06:26:23,55.3571,78.357,70.74,74,67,12.8
270,Marzuq,YE,2022-06-14 06:27:24,14.4,46.4667,91.15,19,98,5.99
271,Sangar,RU,2022-06-14 06:27:24,63.9242,127.4739,53.82,88,100,5.5
272,Comodoro Rivadavia,AR,2022-06-14 06:27:24,-45.8667,-67.5,51.66,54,0,14.97
273,Aden,YE,2022-06-14 06:27:25,12.7794,45.0367,88.59,73,94,2.8
274,Ocos,GT,2022-06-14 06:27:25,14.5094,-92.1933,73.58,88,100,6.73
275,Lixourion,GR,2022-06-14 06:26:17,38.2019,20.4314,77.0,83,20,0.0
276,Saint-Pierre,RE,2022-06-14 06:27:26,-21.3393,55.4781,78.48,47,37,4.61
277,Roma,US,2022-06-14 06:27:26,43.2128,-75.4557,54.73,91,0,0.0
278,Goderich,CA,2022-06-14 06:27:26,43.7501,-81.7165,64.72,72,90,8.05
279,Alugan,PH,2022-06-14 06:27:26,12.2188,125.4808,83.86,75,99,16.11
280,Jiamusi,CN,2022-06-14 06:27:27,46.8333,130.35,81.01,39,83,10.38
281,Waipawa,NZ,2022-06-14 06:27:27,-41.4122,175.5153,52.36,71,26,23.53
282,Keffi,NG,2022-06-14 06:27:27,8.8486,7.8736,73.89,91,89,2.3
283,Grand-Lahou,CI,2022-06-14 06:27:28,5.1367,-5.0242,75.83,82,9,7.11
284,Buala,SB,2022-06-14 06:27:28,-8.145,159.5921,82.9,76,24,8.01
285,Severobaykalsk,RU,2022-06-14 06:27:28,55.65,109.3167,58.86,66,43,1.21
286,Celestun,MX,2022-06-14 06:27:29,20.8667,-90.4,81.36,71,71,13.78
287,Prince Rupert,CA,2022-06-14 06:27:29,54.3161,-130.3201,51.49,90,40,2.3
288,Airai,TL,2022-06-14 06:27:30,-8.9266,125.4092,64.22,90,95,2.48
289,Pahrump,US,2022-06-14 06:25:34,36.2083,-115.9839,80.65,14,12,4.68
290,Chicama,PE,2022-06-14 06:27:30,-7.8447,-79.1469,59.54,89,12,5.14
291,Troitskaya,RU,2022-06-14 06:27:30,43.3056,44.9789,68.02,61,84,4.99
292,Kyaikkami,MM,2022-06-14 06:27:31,16.08,97.5675,83.17,77,100,7.2
293,San Patricio,US,2022-06-14 06:27:31,28.017,-97.5169,84.09,79,100,15.88
294,Nenjiang,CN,2022-06-14 06:27:31,49.1833,125.2167,72.79,64,97,10.6
295,Tezu,IN,2022-06-14 06:27:32,27.9167,96.1667,76.98,91,99,4.03
